Score,Rating,Address,City,ZIP,Owner,Value,Type,Year Built,Sqft,Signals,Court Activity,Mail Name,Mail Address,Mail City,Mail State,Mail ZIP,Bridge Page
82,HIGH,663 DEER CREEK CORONA WAY,DEERFIELD BEACH,33442,"GONZALEZ,DAVID",338720,Single Family,1987,1327,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,satisfaction 12/16/2025; lis_pendens 12/09/2024; final_judgment 12/06/2024; mortgage 08/25/2025; deed_transfer 08/25/2025,"GONZALEZ,DAVID",698 DEER CREEK CORONA WAY,DEERFIELD BEACH,FLORIDA,33442,https://title.rootz.global/p/farm?address=663%20DEER%20CREEK%20CORONA%20WAY&city=DEERFIELD%20BEACH
82,HIGH,8370 NW 37 ST,SUNRISE,33351,"RODRIGUEZ,FRANCISCO",320350,Single Family,1981,1295,Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment; Death certificate recorded,death 11/24/2025; probate 11/24/2025; lien 10/30/2025; satisfaction 10/30/2024; lis_pendens 07/23/2025,"RODRIGUEZ,FRANCISCO",8370 NW 37 ST,SUNRISE,FLORIDA,33351,https://title.rootz.global/p/farm?address=8370%20NW%2037%20ST&city=SUNRISE
81,HIGH,4122 NW 88 AVE,CORAL SPRINGS,33065,US BANK TRUST NATIONAL ASSN,159080,Condo,1975,1085,Out-of-state absentee; Corporate/LLC/Trust; No homestead; High equity; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,satisfaction 12/29/2025; lis_pendens 12/29/2025; lien 12/19/2024; final_judgment 12/11/2025; deed_transfer 12/02/2025,US BANK TRUST NATIONAL ASSN,3815 SW TEMPLE,SALT LAKE CITY,UTAH,84115,https://title.rootz.global/p/farm?address=4122%20NW%2088%20AVE&city=CORAL%20SPRINGS
81,HIGH,2314 S CYPRESS BEND DR,POMPANO BEACH,33069,MORTGAGE ASSETS MANAGEMENT LLC,150310,Condo,1975,810,Out-of-state absentee; Corporate/LLC/Trust; No homestead; High equity; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,deed_transfer 12/30/2025; satisfaction 12/23/2024; lis_pendens 12/17/2024; final_judgment 12/10/2024; lien 11/05/2025,MORTGAGE ASSETS MANAGEMENT LLC,14405 WALTERS RD STE 200,HOUSTON,TEXAS,77014,https://title.rootz.global/p/farm?address=2314%20S%20CYPRESS%20BEND%20DR&city=POMPANO%20BEACH
80,HIGH,2200 PARK LN,HOLLYWOOD,33021,"GARCIA,LUIS",168700,Condo,1970,909,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,final_judgment 12/26/2024; lis_pendens 12/16/2024; satisfaction 12/02/2025; mortgage 11/20/2025; probate 11/07/2024,"GARCIA,LUIS",2200 PARK LN #316,HOLLYWOOD,FLORIDA,33021,https://title.rootz.global/p/farm?address=2200%20PARK%20LN&city=HOLLYWOOD
80,HIGH,1423 E HILLSBORO BLVD,DEERFIELD BEACH,33441,"KELLY,MICHAEL",336810,Condo,1970,1255,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,mortgage 12/30/2025; satisfaction 11/14/2024; deed_transfer 11/12/2025; lis_pendens 11/06/2024; probate 11/04/2025,"KELLY,MICHAEL",1423 E HILLSBORO BLVD #120,DEERFIELD BEACH,FLORIDA,33441,https://title.rootz.global/p/farm?address=1423%20E%20HILLSBORO%20BLVD&city=DEERFIELD%20BEACH
80,HIGH,6191 SW 37 ST,DAVIE,33314,"MCFADDEN,RAYMOND",151720,Condo,1972,730,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,satisfaction 11/12/2025; probate 09/02/2025; lien 05/06/2026; final_judgment 01/31/2024; lis_pendens 01/05/2024,"MCFADDEN,RAYMOND",6191 SW 37 ST #206,DAVIE,FLORIDA,33314,https://title.rootz.global/p/farm?address=6191%20SW%2037%20ST&city=DAVIE
80,HIGH,5935 DEL LAGO CIR,SUNRISE,33313,"HYLTON,YVONNE",129770,Condo,1980,1090,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,probate 12/30/2025; lis_pendens 12/02/2024; lien 10/01/2024; final_judgment 09/16/2025,"HYLTON,YVONNE",PO BOX 190151,FORT LAUDERDALE,FLORIDA,33319,https://title.rootz.global/p/farm?address=5935%20DEL%20LAGO%20CIR&city=SUNRISE
79,HIGH,4020 GALT OCEAN DR,FORT LAUDERDALE,33308,"ISCRA,LINO",577220,Condo,1972,1690,Out-of-state absentee; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment; Death certificate recorded,lien 10/22/2024; satisfaction 10/21/2025; death 10/15/2025; lis_pendens 07/24/2024; final_judgment 01/07/2025,"ISCRA,LINO",PO BOX 245,HUNTLEY,ILLINOIS,60142,https://title.rootz.global/p/farm?address=4020%20GALT%20OCEAN%20DR&city=FORT%20LAUDERDALE
77,HIGH,1425 WINDJAMMER WAY,HOLLYWOOD,33019,"DOLGONOS,EL",3432490,Single Family,2005,5420,No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Death certificate recorded,satisfaction 12/11/2025; deed_transfer 11/24/2025; probate 11/24/2025; lis_pendens 08/26/2024; death 08/08/2025,"DOLGONOS,EL",1425 WINDJAMMER WAY,HOLLYWOOD,FLORIDA,33019,https://title.rootz.global/p/farm?address=1425%20WINDJAMMER%20WAY&city=HOLLYWOOD
77,HIGH,1719 PLUNKETT ST,HOLLYWOOD,33020,"GONZALEZ,DAVID",793920,Single Family,1962,2917,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,satisfaction 12/16/2025; lis_pendens 12/09/2024; final_judgment 12/06/2024; mortgage 08/25/2025; deed_transfer 08/25/2025,"GONZALEZ,DAVID",1653 PLUNKETT ST,HOLLYWOOD,FLORIDA,33020,https://title.rootz.global/p/farm?address=1719%20PLUNKETT%20ST&city=HOLLYWOOD
77,HIGH,6534 W SAMPLE RD,CORAL SPRINGS,33067,"GONZALEZ,DAVID",289490,Condo,2006,1203,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,satisfaction 12/16/2025; lis_pendens 12/09/2024; final_judgment 12/06/2024; mortgage 08/25/2025; deed_transfer 08/25/2025,"GONZALEZ,DAVID",6534 W SAMPLE RD #6534,CORAL SPRINGS,FLORIDA,33067,https://title.rootz.global/p/farm?address=6534%20W%20SAMPLE%20RD&city=CORAL%20SPRINGS
77,HIGH,10001 W ATLANTIC BLVD,CORAL SPRINGS,33071,"ROJAS,JOSE",209740,Condo,1985,933,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,final_judgment 12/09/2024; satisfaction 10/24/2024; deed_transfer 09/23/2024; lis_pendens 07/25/2025; probate 01/19/2024,"ROJAS,JOSE",10001 W ATLANTIC BLVD #318,CORAL SPRINGS,FLORIDA,33071,https://title.rootz.global/p/farm?address=10001%20W%20ATLANTIC%20BLVD&city=CORAL%20SPRINGS
77,HIGH,9173 NW 1 ST,PEMBROKE PINES,33024,"RODRIGUEZ,CARLOS",245010,Condo,1985,787,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment; Death certificate recorded,satisfaction 12/27/2024; deed_transfer 12/03/2025; lis_pendens 11/24/2025; mortgage 10/14/2025; final_judgment 08/21/2025,"RODRIGUEZ,CARLOS",9173 NW 1 ST UNIT 202,PEMBROKE PINES,FLORIDA,33024,https://title.rootz.global/p/farm?address=9173%20NW%201%20ST&city=PEMBROKE%20PINES
77,HIGH,410 NW 68 AVE,PLANTATION,33317,"RODRIGUEZ,CARLOS",157240,Condo,1975,940,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment; Death certificate recorded,satisfaction 12/27/2024; deed_transfer 12/03/2025; lis_pendens 11/24/2025; mortgage 10/14/2025; final_judgment 08/21/2025,"RODRIGUEZ,CARLOS",20 SE 13 ST APT B6,BOCA RATON,FLORIDA,33432,https://title.rootz.global/p/farm?address=410%20NW%2068%20AVE&city=PLANTATION
77,HIGH,3241 SABAL PALM MNR,DAVIE,33024,"GONZALEZ,DAVID",227240,Condo,2006,942,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,satisfaction 12/16/2025; lis_pendens 12/09/2024; final_judgment 12/06/2024; mortgage 08/25/2025; deed_transfer 08/25/2025,"GONZALEZ,DAVID",3241 SABAL PALM MNR #208,DAVIE,FLORIDA,33024,https://title.rootz.global/p/farm?address=3241%20SABAL%20PALM%20MNR&city=DAVIE
77,HIGH,3588 NW 95 TER,SUNRISE,33351,"HARRIS,JENNIE CARTER",272370,Condo,1987,1195,Out-of-state absentee; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property,lis_pendens 12/27/2024; satisfaction 09/16/2025; probate 09/12/2025; lien 08/12/2024,"HARRIS,JENNIE CARTER",907 GUENTHER AVE,YEADON,PENNSLYVANIA,19050,https://title.rootz.global/p/farm?address=3588%20NW%2095%20TER&city=SUNRISE
75,HIGH,444 NE 7 ST,FORT LAUDERDALE,33304,444 NE 7TH ST LLC,101581240,Multi-Family (2-9),2022,479072,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,satisfaction 12/18/2025; lien 11/26/2024; final_judgment 11/07/2025; lis_pendens 04/12/2024,444 NE 7TH ST LLC,"925 FOURTH AVE, 39TH FLOOR",SEATTLE,WASHINGTON,98101,https://title.rootz.global/p/farm?address=444%20NE%207%20ST&city=FORT%20LAUDERDALE
75,HIGH,501 MIDDLE RIVER DR,FORT LAUDERDALE,33304,RA FLL LLC,14797550,Single Family,2025,12173,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,lien 10/11/2024; satisfaction 09/06/2024; mortgage 07/26/2024; final_judgment 05/14/2026; lis_pendens 01/06/2025,RA FLL LLC,1201 ROUTE 112 SUITE 900,PORT JEFFERSON STATION,NEW YORK,11776,https://title.rootz.global/p/farm?address=501%20MIDDLE%20RIVER%20DR&city=FORT%20LAUDERDALE
75,HIGH,401-403 NE 14 AVE,FORT LAUDERDALE,33301,DCL 401 LLC,877110,Multi-Family (10+),1968,1912,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,final_judgment 12/18/2025; lis_pendens 07/11/2025; lien 05/06/2025,DCL 401 LLC,24A TROLLEY SQUARE,WILMINGTON,DELAWARE,19806,https://title.rootz.global/p/farm?address=401-403%20NE%2014%20AVE&city=FORT%20LAUDERDALE
75,HIGH,701 N FORT LAUDERDALE BEACH BLVD,FORT LAUDERDALE,33304,44 LAUREL LLC,1608990,Condo,2018,2408,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,lien 09/26/2024; final_judgment 07/30/2025; satisfaction 06/30/2025; lis_pendens 06/24/2025,44 LAUREL LLC,PO BOX 460,STONE HARBOR,NEW JERSEY,8247,https://title.rootz.global/p/farm?address=701%20N%20FORT%20LAUDERDALE%20BEACH%20BLVD&city=FORT%20LAUDERDALE
75,HIGH,1415 N 19 AVE,HOLLYWOOD,33020,Y APARTMENTS LLC,346700,Single Family,1971,1403,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,deed_transfer 12/23/2025; satisfaction 12/03/2024; mortgage 11/27/2024; lien 10/15/2024; lis_pendens 08/28/2025,Y APARTMENTS LLC,4531 N COUNTRY CLUB LN,LONG BEACH,CALIFORNIA,90807,https://title.rootz.global/p/farm?address=1415%20N%2019%20AVE&city=HOLLYWOOD
75,HIGH,1947 BUCHANAN ST,HOLLYWOOD,33020,1943 BUCHANAN LLC,1030700,Multi-Family (10+),1953,4084,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,lien 10/14/2025; lis_pendens 09/16/2024; satisfaction 08/12/2024; mortgage 04/22/2025; final_judgment 01/27/2025,1943 BUCHANAN LLC,1636 EASTERN PKWY,BROOKLYN,NEW YORK,11233,https://title.rootz.global/p/farm?address=1947%20BUCHANAN%20ST&city=HOLLYWOOD
75,HIGH,432-462 N 19 AVE,HOLLYWOOD,33020,1610 NORTH DIXIE HIGHWAY LLC,2356060,Multi-Family (2-9),1949,5505,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,easement 12/31/2024; final_judgment 12/22/2025; satisfaction 11/06/2024; lis_pendens 10/20/2025; lien 04/29/2025,1610 NORTH DIXIE HIGHWAY LLC,4403 15 AVE STE 192,BROOKLYN,NEW YORK,11219,https://title.rootz.global/p/farm?address=432-462%20N%2019%20AVE&city=HOLLYWOOD
75,HIGH,400-430 N 19 AVE,HOLLYWOOD,33020,1610 NORTH DIXIE HIGHWAY LLC,2466960,Multi-Family (2-9),1959,5425,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,easement 12/31/2024; final_judgment 12/22/2025; satisfaction 11/06/2024; lis_pendens 10/20/2025; lien 04/29/2025,1610 NORTH DIXIE HIGHWAY LLC,4403 15 AVE STE 192,BROOKLYN,NEW YORK,11219,https://title.rootz.global/p/farm?address=400-430%20N%2019%20AVE&city=HOLLYWOOD
75,HIGH,1913-1915 TAYLOR ST,HOLLYWOOD,33020,1610 NORTH DIXIE HIGHWAY LLC,515020,Multi-Family (10+),1952,2670,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,easement 12/31/2024; final_judgment 12/22/2025; satisfaction 11/06/2024; lis_pendens 10/20/2025; lien 04/29/2025,1610 NORTH DIXIE HIGHWAY LLC,4403 15 AVE STE 192,BROOKLYN,NEW YORK,11219,https://title.rootz.global/p/farm?address=1913-1915%20TAYLOR%20ST&city=HOLLYWOOD
75,HIGH,1900 TAYLOR ST,HOLLYWOOD,33020,1610 NORTH DIXIE HIGHWAY LLC,132680,Misc Residential,1975,1239,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,easement 12/31/2024; final_judgment 12/22/2025; satisfaction 11/06/2024; lis_pendens 10/20/2025; lien 04/29/2025,1610 NORTH DIXIE HIGHWAY LLC,4403 15 AVE STE 192,BROOKLYN,NEW YORK,11219,https://title.rootz.global/p/farm?address=1900%20TAYLOR%20ST&city=HOLLYWOOD
75,HIGH,1329 POLK ST,HOLLYWOOD,33019,ZIZEL LLC,1478960,Single Family,1965,4400,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,lien 12/23/2024; satisfaction 10/31/2025; deed_transfer 10/20/2025; lis_pendens 08/20/2024; mortgage 07/26/2024,ZIZEL LLC,5735 MADRE MESA DR,LAS VEGAS,NEVADA,89108,https://title.rootz.global/p/farm?address=1329%20POLK%20ST&city=HOLLYWOOD
75,HIGH,4024 JEFFERSON ST,HOLLYWOOD,33021,4024 JEFFERSON HOLDINGS LLC,828610,Single Family,1974,2895,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,lis_pendens 11/10/2025; final_judgment 06/27/2024; lien 06/25/2024,4024 JEFFERSON HOLDINGS LLC,3 ALPINE CT,CHESTNUT RIDGE,NEW YORK,10977,https://title.rootz.global/p/farm?address=4024%20JEFFERSON%20ST&city=HOLLYWOOD
75,HIGH,1815 N SURF RD,HOLLYWOOD,33019,603 LA PLAYA LLC,477110,Condo,2007,798,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,final_judgment 12/30/2025; lis_pendens 08/08/2025; lien 07/16/2025,603 LA PLAYA LLC,3407 30 AVE #2F,ASTORIA,NEW YORK,11103,https://title.rootz.global/p/farm?address=1815%20N%20SURF%20RD&city=HOLLYWOOD
75,HIGH,2118 PINEHURST WAY,CORAL SPRINGS,33071,"WILLIAMS,MICHAEL",791430,Single Family,1989,3576,No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,mortgage 12/29/2025; satisfaction 12/05/2025; final_judgment 10/22/2025; deed_transfer 09/11/2024; probate 07/22/2025,"WILLIAMS,MICHAEL",2118 PINEHURST WAY,CORAL SPRINGS,FLORIDA,33071,https://title.rootz.global/p/farm?address=2118%20PINEHURST%20WAY&city=CORAL%20SPRINGS
75,HIGH,915 RIVERSIDE DR,CORAL SPRINGS,33071,LTE CORP,221860,Condo,2006,1060,Out-of-state absentee; Corporate/LLC/Trust; No homestead; Litigation pending (pre-foreclosure); Lien on property; Foreclosure judgment,lien 12/17/2025; satisfaction 11/13/2025; final_judgment 10/09/2025; lis_pendens 01/15/2025,LTE CORP,5323 HIDALGO ST #520,HOUSTON,TEXAS,77056,https://title.rootz.global/p/farm?address=915%20RIVERSIDE%20DR&city=CORAL%20SPRINGS
75,HIGH,151 SW 135 TER,PEMBROKE PINES,33027,"REYES,FRANCISCO",156440,Condo,1985,954,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property,deed_transfer 11/25/2024; satisfaction 11/03/2025; probate 10/30/2025; lis_pendens 06/26/2025; lien 05/18/2026,"REYES,FRANCISCO",151 SW 135 TER #111T,PEMBROKE PINES,FLORIDA,33027,https://title.rootz.global/p/farm?address=151%20SW%20135%20TER&city=PEMBROKE%20PINES
